City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
3,Hilo,US,87.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
4,Padilla,CO,81.97,broken clouds,3.2204,-76.3139,La Granadina
5,Georgetown,MY,80.55,few clouds,5.4112,100.3354,Cititel Penang
7,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
11,Takoradi,GH,77.97,overcast clouds,4.8845,-1.7554,Raybow International Hotel
13,Worland,US,73.85,clear sky,44.0169,-107.9554,Town House Motor Inn
14,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Bud,US,70.83,broken clouds,39.447,-86.1758,Ted McQuinn Trust
19,East London,ZA,73.58,overcast clouds,-33.0153,27.9116,Tu Casa
20,Wajid,SO,78.01,overcast clouds,3.8093,43.2471,xamdihotelresturant114
21,Arraial Do Cabo,BR,73.58,few clouds,-22.9661,-42.0278,Pousada Porto Praia
22,Hithadhoo,MV,83.66,few clouds,-0.6,73.0833,Scoop Guest House
24,Victoria,HK,75.38,broken clouds,22.2855,114.1577,Mini Hotel Central
31,Veraval,IN,81.12,clear sky,20.9,70.3667,Lords Inn Somnath
37,Isangel,VU,82.44,broken clouds,-19.55,169.2667,Tanna Lodge
39,Tual,ID,83.01,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
41,Buala,SB,84.9,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
44,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
50,Sumbe,AO,76.69,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
52,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
55,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
57,Columbia,US,78.28,clear sky,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
58,Shush,IR,75.13,few clouds,32.1942,48.2436,Mosque Zaman (AS) Cultural promised -Kanvn
65,Lima,PE,70.39,clear sky,-12.0432,-77.0282,Hotel Kamana
68,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
71,Butaritari,KI,81.52,broken clouds,3.0707,172.7902,Isles Sunset Lodge
87,Atuona,PF,79.09,light rain,-9.8,-139.0333,Villa Enata
88,Santa Cruz,BO,82.45,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
99,Kavaratti,IN,84.18,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
101,Kendari,ID,77.61,scattered clouds,-3.945,122.4989,Hotel Wixel
103,Bucerias,MX,78.78,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
105,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
107,Zhuhai,CN,76.86,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
109,Itaueira,BR,78.44,broken clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
111,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
112,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
121,Richmond,US,71.58,broken clouds,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
123,Kaohsiung,TW,78.04,broken clouds,22.6163,120.3133,御宿商旅-中山館
126,Padang,ID,77.67,overcast clouds,-0.9492,100.3543,Mercure Padang
129,Kavieng,PG,85.19,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
137,La Brea,HN,83.71,scattered clouds,15.8,-85.9667,Hotel reynita
141,Sao Filipe,CV,72.93,overcast clouds,14.8961,-24.4956,Hotel Xaguate
142,Kiri Buru,IN,73.04,clear sky,22.0833,85.35,Lucky India
143,Atar,MR,76.6,scattered clouds,20.5169,-13.0499,Oumou Elghoura
144,Meadow Lake,US,83.86,clear sky,34.8014,-106.5436,TumbleWeed RV Park
150,Okitipupa,NG,76.89,overcast clouds,6.5047,4.7839,Coastal Hotel & Suites
153,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
155,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
156,Denpasar,ID,78.46,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
162,Guiberoua,CI,75.63,overcast clouds,6.2392,-6.1727,HOTEL LAGOTCHÉ
164,Touros,BR,80.06,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
172,Ahipara,NZ,70.02,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
173,Kyela,TZ,70.29,light rain,-9.5833,33.85,ML Inn
175,Ishigaki,JP,75.33,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
176,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
177,Puerto Narino,CO,73.89,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
178,Meulaboh,ID,77.45,overcast clouds,4.1363,96.1285,Kost Pria
181,Namatanai,PG,84.76,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
182,Kisangani,CD,70.72,broken clouds,0.5167,25.2,Grand Ramela Hotel
193,Bengkulu,ID,76.57,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
197,Puerto Colombia,CO,86.09,broken clouds,10.9878,-74.9547,Hotel El Emigrante
199,Cabo San Lucas,MX,80.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
201,Urucara,BR,74.52,light rain,-2.5364,-57.76,Pousada Maria Bonita
208,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
209,Kutum,SD,75.56,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
210,Victoria Point,AU,74.17,broken clouds,-27.5833,153.3,Bay Retreat Motel
211,Awbari,LY,81.55,broken clouds,26.5921,12.7805,فندق أوباري
213,Akyab,MM,79.97,scattered clouds,20.15,92.9,Hotel Memory
215,Lorengau,PG,84.76,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
217,Guatire,VE,79.2,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
218,Paranaiba,BR,74.82,scattered clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
223,Luanda,AO,76.93,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
226,Kieta,PG,84.16,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
230,Sorong,ID,79.48,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
232,Cardoso,BR,74.21,few clouds,-20.0819,-49.9142,EmilioTur Pescaria
233,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
234,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
235,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
238,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
242,Hervey Bay,AU,74.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
243,Tayu,ID,76.01,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
