City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Lebu,CL,-37.6167,-73.65,54.46,96,100,1.14,overcast clouds
1,Cape Town,ZA,-33.9258,18.4232,62.11,88,75,11.5,broken clouds
2,Kandava,LV,57.0409,22.7747,42.76,85,5,4.85,clear sky
3,Hilo,US,19.7297,-155.09,87.28,77,100,9.22,overcast clouds
4,Padilla,CO,3.2204,-76.3139,81.97,90,69,2.13,broken clouds
5,Georgetown,MY,5.4112,100.3354,80.55,89,20,2.3,few clouds
6,Rikitea,PF,-23.1203,-134.9692,69.66,88,100,11.56,moderate rain
7,Vaini,TO,-21.2,-175.2,82.56,78,20,4.61,few clouds
8,Chuy,UY,-33.6971,-53.4616,62.1,91,69,7.27,broken clouds
9,Fort Nelson,CA,58.8053,-122.7002,38.79,45,75,5.75,broken clouds
10,Nikolskoye,RU,59.7035,30.7861,42.8,91,7,3.71,clear sky
11,Takoradi,GH,4.8845,-1.7554,77.97,87,100,6.82,overcast clouds
12,Tinyahuarco,PE,-10.75,-76.3,40.15,86,93,5.5,overcast clouds
13,Worland,US,44.0169,-107.9554,73.85,13,0,16.11,clear sky
14,Kapaa,US,22.0752,-159.319,80.58,81,40,18.41,scattered clouds
15,Ushuaia,AR,-54.8,-68.3,40.66,87,75,20.71,light intensity drizzle
16,Vestmannaeyjar,IS,63.4427,-20.2734,47.05,79,96,15.32,overcast clouds
17,Qaanaaq,GL,77.484,-69.3632,-5.35,79,65,8.37,broken clouds
18,Bud,US,39.447,-86.1758,70.83,60,69,2.91,broken clouds
19,East London,ZA,-33.0153,27.9116,73.58,48,85,5.03,overcast clouds
20,Wajid,SO,3.8093,43.2471,78.01,72,98,14.41,overcast clouds
21,Arraial Do Cabo,BR,-22.9661,-42.0278,73.58,79,13,5.44,few clouds
22,Hithadhoo,MV,-0.6,73.0833,83.66,73,18,10.33,few clouds
23,Hasaki,JP,35.7333,140.8333,61.29,83,60,13.06,broken clouds
24,Victoria,HK,22.2855,114.1577,75.38,89,73,5.99,broken clouds
25,Busselton,AU,-33.65,115.3333,54.77,76,0,12.26,clear sky
26,Gamba,GA,-2.65,10.0,77.56,92,100,0.85,overcast clouds
27,Eganville,CA,45.5334,-77.0994,52.93,76,73,12.8,broken clouds
28,King City,US,36.2127,-121.126,68.45,58,100,13.33,overcast clouds
29,New Norfolk,AU,-42.7826,147.0587,49.66,69,80,2.8,broken clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,85,75,3.44,broken clouds
31,Veraval,IN,20.9,70.3667,81.12,62,4,11.81,clear sky
32,Yellowknife,CA,62.456,-114.3525,34.32,47,20,10.36,few clouds
33,Sherlovaya Gora,RU,50.5667,116.25,34.21,51,92,13.27,overcast clouds
34,Svetlogorsk,BY,52.6333,29.7333,41.7,87,85,12.75,overcast clouds
35,Stornoway,GB,58.2093,-6.3865,48.16,89,25,9.22,scattered clouds
36,Alexandria,EG,31.2156,29.9553,57.74,72,40,4.61,scattered clouds
37,Isangel,VU,-19.55,169.2667,82.44,69,65,8.68,broken clouds
38,Viedma,AR,-40.8135,-62.9967,56.66,64,100,16.49,light rain
39,Tual,ID,-5.6667,132.75,83.01,74,94,4.09,overcast clouds
40,Santa Maria,BR,-29.6842,-53.8069,67.3,94,0,1.14,clear sky
41,Buala,SB,-8.145,159.5921,84.9,69,95,3.65,overcast clouds
42,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,18.41,broken clouds
43,Ilulissat,GL,69.2167,-51.1,42.82,49,100,13.8,overcast clouds
44,Miri,MY,4.4148,114.0089,77.14,94,40,2.3,scattered clouds
45,Adrar,MR,20.5022,-10.0711,73.11,13,1,11.88,clear sky
46,Mataura,NZ,-46.1927,168.8643,49.48,89,91,8.68,overcast clouds
47,Esperance,AU,-33.8667,121.9,51.64,73,80,8.16,broken clouds
48,Codrington,AU,-38.2667,141.9667,56.08,65,100,11.56,overcast clouds
49,Verkh-Usugli,RU,52.7,115.1667,26.62,39,45,3.87,scattered clouds
50,Sumbe,AO,-11.2061,13.8437,76.69,92,100,4.52,overcast clouds
51,Geraldton,AU,-28.7667,114.6,64.81,52,3,10.36,clear sky
52,Port Blair,IN,11.6667,92.75,78.84,94,20,2.3,mist
53,Lompoc,US,34.6391,-120.4579,66.34,72,20,14.97,few clouds
54,Albany,US,42.6001,-73.9662,55.92,49,100,1.01,overcast clouds
55,Bambous Virieux,MU,-20.3428,57.7575,78.22,88,75,10.36,broken clouds
56,Vanderhoof,CA,54.0166,-124.0198,49.42,49,97,1.92,overcast clouds
57,Columbia,US,34.0007,-81.0348,78.28,38,0,5.75,clear sky
58,Shush,IR,32.1942,48.2436,75.13,14,20,10.96,few clouds
59,Muros,ES,42.7762,-9.0603,49.84,92,100,13.69,overcast clouds
60,Hobart,AU,-42.8794,147.3294,50.02,75,75,9.22,broken clouds
61,Ust-Tsilma,RU,65.441,52.1498,15.91,97,86,0.72,overcast clouds
62,Kodiak,US,57.79,-152.4072,42.31,65,20,20.71,few clouds
63,Mar Del Plata,AR,-38.0023,-57.5575,61.88,53,0,8.05,clear sky
64,Narsaq,GL,60.9167,-46.05,44.82,86,100,2.17,overcast clouds
65,Lima,PE,-12.0432,-77.0282,70.39,79,0,10.36,clear sky
66,Kasempa,ZM,-13.4584,25.8338,61.59,95,81,4.74,broken clouds
67,Dunedin,NZ,-45.8742,170.5036,50.81,77,100,18.01,overcast clouds
68,Olinda,BR,-8.0089,-34.8553,82.13,74,40,6.91,scattered clouds
69,Sept-Iles,CA,50.2001,-66.3821,34.23,80,75,18.41,broken clouds
70,Port Elizabeth,ZA,-33.918,25.5701,63.32,90,20,13.8,few clouds
71,Butaritari,KI,3.0707,172.7902,81.52,78,75,13.65,broken clouds
72,Hami,CN,42.8,93.45,55.89,21,20,9.73,few clouds
73,Half Moon Bay,US,37.4636,-122.4286,64.22,64,0,14.97,mist
74,Nanortalik,GL,60.1432,-45.2371,35.13,89,100,8.84,light snow
75,Leningradskiy,RU,69.3833,178.4167,22.19,85,100,2.48,overcast clouds
76,Palana,RU,59.1167,159.9667,23.81,80,100,5.23,overcast clouds
77,Jamestown,US,42.097,-79.2353,58.59,78,75,12.66,broken clouds
78,Louth,GB,53.3666,-0.0044,47.84,87,54,17.27,haze
79,Kolpashevo,RU,58.3131,82.9089,23.54,93,100,12.88,light snow
80,Raudeberg,NO,61.9875,5.1352,48.87,84,46,20.62,scattered clouds
81,Stromness,GB,58.965,-3.296,44.56,88,40,1.99,scattered clouds
82,Dzialdowo,PL,53.2396,20.17,44.92,91,95,9.95,overcast clouds
83,Provideniya,RU,64.3833,-173.3,33.37,74,0,15.99,clear sky
84,Chipinge,ZW,-20.1883,32.6236,59.36,99,100,1.36,light rain
85,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,90,100,6.91,overcast clouds
86,Torbay,CA,47.6666,-52.7314,36.75,76,20,11.99,few clouds
87,Atuona,PF,-9.8,-139.0333,79.09,81,12,15.35,light rain
88,Santa Cruz,BO,-17.8,-63.1667,82.45,69,40,12.66,scattered clouds
89,Te Anau,NZ,-45.4167,167.7167,48.06,76,62,1.43,broken clouds
90,Batagay-Alyta,RU,67.8006,130.4114,15.87,90,100,2.71,overcast clouds
91,Husavik,IS,66.0449,-17.3389,44.04,87,4,8.79,clear sky
92,Longyearbyen,SJ,78.2186,15.6401,28.24,93,75,8.05,light snow
93,Nome,US,64.5011,-165.4064,39.27,52,0,12.66,clear sky
94,Ixtlahuacan Del Rio,MX,20.8667,-103.25,92.26,9,0,6.62,clear sky
95,Dikson,RU,73.5069,80.5464,0.75,97,100,12.1,overcast clouds
