City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,Touros,BR,-5.1989,-35.4608,81.72,76,68,11.81,2022-04-21 19:56:26
1,San Ignacio,BZ,17.1561,-89.0714,93.34,43,40,6.91,2022-04-21 19:56:26
2,Punta Arenas,CL,-53.15,-70.9167,46.51,61,75,20.71,2022-04-21 19:52:14
3,Fortuna,US,40.5982,-124.1573,60.1,66,40,16.11,2022-04-21 19:56:27
4,Vaini,TO,-21.2,-175.2,69.96,100,20,2.3,2022-04-21 19:56:27
5,Taybad,IR,34.74,60.7756,65.1,52,5,6.51,2022-04-21 19:56:27
6,Banyo,CM,6.75,11.8167,74.55,68,91,2.95,2022-04-21 19:56:28
7,Almora,IN,29.6167,79.6667,58.59,55,81,2.59,2022-04-21 19:56:28
8,Mataura,NZ,-46.1927,168.8643,46.47,96,100,7.9,2022-04-21 19:56:28
9,Thompson,CA,55.7435,-97.8558,33.96,32,20,6.91,2022-04-21 19:56:29
10,Requena,ES,39.4883,-1.1004,51.51,55,60,7.56,2022-04-21 19:56:29
11,Iqaluit,CA,63.7506,-68.5145,11.93,66,20,11.5,2022-04-21 19:55:18
12,Busselton,AU,-33.65,115.3333,55.74,71,0,12.68,2022-04-21 19:56:29
13,Vestmanna,FO,62.1564,-7.1664,43.72,76,21,1.14,2022-04-21 19:56:30
14,Hermanus,ZA,-34.4187,19.2345,58.8,85,28,2.82,2022-04-21 19:52:29
15,Rikitea,PF,-23.1203,-134.9692,71.2,94,100,17.65,2022-04-21 19:56:30
16,Jalu,LY,29.0331,21.5482,74.93,17,88,11.68,2022-04-21 19:56:31
17,Ust-Maya,RU,60.4167,134.5333,20.48,98,99,3.27,2022-04-21 19:56:31
18,Maues,BR,-3.3836,-57.7186,80.08,89,86,3.2,2022-04-21 19:53:43
19,Hilo,US,19.7297,-155.09,89.28,83,79,5.01,2022-04-21 19:56:31
